num_lines,num_scen,demand_hor,max_dev,max_walk,fleet_size,capacity,K,max_sch_dev,trial_id
5.0,5.0,3600.0,600.0,210.0,5.0,10.0,0.0,300.0,1.0
5.0,5.0,3600.0,600.0,210.0,5.0,10.0,1.0,300.0,2.0
5.0,5.0,7200.0,600.0,210.0,5.0,10.0,0.0,300.0,3.0
5.0,5.0,7200.0,600.0,210.0,5.0,10.0,1.0,300.0,4.0
5.0,5.0,10800.0,600.0,210.0,5.0,10.0,0.0,300.0,5.0
5.0,5.0,10800.0,600.0,210.0,5.0,10.0,1.0,300.0,6.0
5.0,20.0,3600.0,600.0,210.0,5.0,10.0,0.0,300.0,7.0
5.0,20.0,3600.0,600.0,210.0,5.0,10.0,1.0,300.0,8.0
5.0,20.0,7200.0,600.0,210.0,5.0,10.0,0.0,300.0,9.0
5.0,20.0,7200.0,600.0,210.0,5.0,10.0,1.0,300.0,10.0
5.0,20.0,10800.0,600.0,210.0,5.0,10.0,0.0,300.0,11.0
5.0,20.0,10800.0,600.0,210.0,5.0,10.0,1.0,300.0,12.0
10.0,5.0,3600.0,600.0,210.0,10.0,10.0,0.0,300.0,13.0
10.0,5.0,3600.0,600.0,210.0,10.0,10.0,1.0,300.0,14.0
10.0,5.0,7200.0,600.0,210.0,10.0,10.0,0.0,300.0,15.0
10.0,5.0,7200.0,600.0,210.0,10.0,10.0,1.0,300.0,16.0
10.0,5.0,10800.0,600.0,210.0,10.0,10.0,0.0,300.0,17.0
10.0,5.0,10800.0,600.0,210.0,10.0,10.0,1.0,300.0,18.0
10.0,20.0,3600.0,600.0,210.0,10.0,10.0,0.0,300.0,19.0
10.0,20.0,3600.0,600.0,210.0,10.0,10.0,1.0,300.0,20.0
10.0,20.0,7200.0,600.0,210.0,10.0,10.0,0.0,300.0,21.0
10.0,20.0,7200.0,600.0,210.0,10.0,10.0,1.0,300.0,22.0
10.0,20.0,10800.0,600.0,210.0,10.0,10.0,0.0,300.0,23.0
10.0,20.0,10800.0,600.0,210.0,10.0,10.0,1.0,300.0,24.0
50.0,5.0,3600.0,600.0,210.0,50.0,10.0,0.0,300.0,25.0
50.0,5.0,3600.0,600.0,210.0,50.0,10.0,1.0,300.0,26.0
50.0,5.0,7200.0,600.0,210.0,50.0,10.0,0.0,300.0,27.0
50.0,5.0,7200.0,600.0,210.0,50.0,10.0,1.0,300.0,28.0
50.0,5.0,10800.0,600.0,210.0,50.0,10.0,0.0,300.0,29.0
50.0,5.0,10800.0,600.0,210.0,50.0,10.0,1.0,300.0,30.0
50.0,20.0,3600.0,600.0,210.0,50.0,10.0,0.0,300.0,31.0
50.0,20.0,3600.0,600.0,210.0,50.0,10.0,1.0,300.0,32.0
50.0,20.0,7200.0,600.0,210.0,50.0,10.0,0.0,300.0,33.0
50.0,20.0,7200.0,600.0,210.0,50.0,10.0,1.0,300.0,34.0
50.0,20.0,10800.0,600.0,210.0,50.0,10.0,0.0,300.0,35.0
50.0,20.0,10800.0,600.0,210.0,50.0,10.0,1.0,300.0,36.0
100.0,5.0,3600.0,600.0,210.0,100.0,10.0,0.0,300.0,37.0
100.0,5.0,3600.0,600.0,210.0,100.0,10.0,1.0,300.0,38.0
100.0,5.0,7200.0,600.0,210.0,100.0,10.0,0.0,300.0,39.0
100.0,5.0,7200.0,600.0,210.0,100.0,10.0,1.0,300.0,40.0
100.0,5.0,10800.0,600.0,210.0,100.0,10.0,0.0,300.0,41.0
100.0,5.0,10800.0,600.0,210.0,100.0,10.0,1.0,300.0,42.0
100.0,20.0,3600.0,600.0,210.0,100.0,10.0,0.0,300.0,43.0
100.0,20.0,3600.0,600.0,210.0,100.0,10.0,1.0,300.0,44.0
100.0,20.0,7200.0,600.0,210.0,100.0,10.0,0.0,300.0,45.0
100.0,20.0,7200.0,600.0,210.0,100.0,10.0,1.0,300.0,46.0
100.0,20.0,10800.0,600.0,210.0,100.0,10.0,0.0,300.0,47.0
100.0,20.0,10800.0,600.0,210.0,100.0,10.0,1.0,300.0,48.0
